id,point_code,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew
131,Bl27,XIAO CHANG SHU - שיאו צ'אנג שו,Small Intestine Shu - שו של המעי הדק,"Xiao - קטן, Chang - מעיים, Shu - נקודת אסוציאציה (חיבור)","Xiao - קטן, Chang - מעיים, Shu - נקודת אסוציאציה/חיבור. נקודת השו האחורית של המעי הדק.","1.5 צון לטרלית לקו האמצע, בגובה הפוראמן הסקרלי הראשון, בשקע בין הגבול המדיאלי של ה-PSIS (Posterior Superior Iliac Spine) לבין הסקרום.",ניקוב אנכי בעומק 0.5-1 צון.,"נקודת השו של המעי הדק.
מקבלת שלוחה מהמעי הדק.
מחזקת את תפקוד המעי הדק בבניית האדם (המעי הדק סופג את התמציות החיוניות לבניית צ'י ודם).
תומכת בצ'י הכליות ויין הכליות.
יוצרת נוזלי גוף, דם, ג'ין ו-יה.
עובדת בהרמוניה עם CV4 (נקודת ה-MU של המעי הדק ונקודת ים הצ'י), מתאמת את כמות הצ'י שהאדם זקוק לה.","1. מטפלת בליחה ולחות שהצטברו במעיים.
2. מטפלת בכאבי ראש המלווים ביובש בפה וצמא הנגרמים כתוצאה מהצטברות רעלים היוצרים חום במעיים.
3. מטפלת ביציאות מימיות ונפיחות בבטן התחתונה הנגרמים כתוצאה מתפקוד לקוי של ספיגת התמציות מהמזון על ידי המעי הדק (תפקוד הטרנספורמציה והטרנספורטציה).","יש לנקוט משנה זהירות בניקוב עמוק, כדי להימנע מפגיעה בסקרום ובעצבים הסקראליים.",נקודה זו חשובה לחיזוק הצ'י המולד ולתמיכה ביכולת הגוף לספוג חומרים מזינים. לעיתים קרובות משתמשים בה במקרים של חולשה וחוסר איזון במערכת העיכול.
132,Bl28,GUAN SHU - גואן שו,Bladder Shu - שו של שלפוחית השתן,"Pang Guan – שלפוחית השתן, Shu – אסוציאציה/נקודת חיבור","פאנג גואן – שלפוחית השתן, שו – אסוציאציה","1.5 צון לטרלית לקו האמצע, בתוך הנקב הסקראלי השני",ניקוב אנכי לעומק 0.5-1 צון,1. נקודת שו של שלפוחית השתן. 2. מקבלת שלוחה משלפוחית השתן. 3. מחזקת את תפקודי המרידיאן והאיבר. 4. פותחת סטגנציה של נוזלים ושתן בשלפוחית השתן. 5. מסלקת חום ולחות משלפוחית השתן ומג'יאו תחתון. 6. מפזרת נוזלים צלולים בכל הגוף. 7. מזינה את זאנג-פו ואת כל הגוף עם ג'ין ויה. 8. מצננת ומלחה את העור.,"1. מטפלת בכאב על ידי שחרור לחץ מהצטברות נוזלים בשלפוחית השתן. 2. מחזקת את שריר שלפוחית השתן, מטפלת באי שליטה במתן שתן וקשיים במתן שתן.",,
133,Bl29,ZHONG LU SHU - ג'ונְג לוּ שוּ,Shu of Sacrum and Central Backbone - שוּ של העצה והגב המרכזי,"Zhong – מרכז, אמצע Lu – עמוד שדרה Shu – אסוציאציה. ממוקם במרכז הגב, בין השרירים המקבילים לעמוד השדרה. נקודה זו משפיעה על הגב ועמוד השדרה.","ג'ונְג - מרכז, אמצע. לוּ - עמוד השדרה. שוּ - אסוציאציה. ממוקמת במרכז הגב, בין השרירים המקבילים לעמוד השדרה. נקודה זו משפיעה על הגב ועמוד השדרה.","1.5 צון לטרלית לקו האמצע, בגובה הנקב העצבי השלישי של העצה.",ניקוב אנכי בעומק 0.5-1 צון.,"1. שוּ של העצה.
2. מניעה צ'י מקומי.",1. מטפלת בכאב מקומי.,,
134,Bl30,BAI HUAN SHU - בַּאי חְוַאן שׁוּ,White Ring Shu - שׁוּ הטַבַּעַת הַלְּבָנָה,"Bai - לבן; Huan - טבעת; Shu - נקודת אסוציאציה. במטאפיזיקה הטאואיסטית, באי חואן שו קשור לאזור שבו מאוחסנים תמציות. זוהי נקודת אחסון חשובה של צ'י ומחוברת למקור של GV. ידועה גם בשם שער הירקן.","באי - לבן, חואן - טבעת, שו - אסוציאציה. במטאפיזיקה הטאואיסטית, באי חואן שו קשור לאזור שבו מאוחסנים תמציות. זוהי נקודת אחסון חשובה של צ'י ומחוברת למקור של GV. ידועה גם בשם שער הירקן.","1.5 צון לטרלית לקו האמצע של הגב, בגובה הפוראמן הסקרלי הרביעי.",ניקוב אנכי בעומק 0.5-1 צון.,"1. שו של פי הטבעת.
2. שו של הנרתיק.
3. מפזר ומסלק לחות מהגוף.","1. מטפל בבעיות גינקולוגיות.
2. מנקה ומטהר את המעיים.",,"ישנן דעות רבות לגבי משמעות המונח ""באי חואן שו"". מדוע יתייחסו אליו כשער ירקן? נראה לא סביר שאבן חן יקרה כזו תקושר לחלק זה בגוף? יש הסבורים ש""באי"" - לבן הוא התייחסות ליסוד המתכת המשמש לתפקיד של שרטוט גבולות. זהו אחד הגבולות התחתונים של הגוף. לפי הטבעת והנרתיק כפתחים תחתונים יש משימה מכרעת לשמר חומרים טהורים ולשחרר את אלה שאינם נחוצים. עם זאת בחשבון אפשר להסכים ש-BL30 היא נקודת השו של פי הטבעת והנרתיק."
135,Bl31,SHANG LIAO - שָׁאנְג לִיָאו,Upper Bone Hole - חור העצם העליון,"Shang - עליון, Liao - חריץ בעצם","שנג – עליון, ליאו – חריץ/מגרעת בעצם","בנקב העצה הראשון (Sacral Foramen), באמצע הדרך בין ה-PSIS לעצה.","ניצב, 0.5-1 צון.",מפגש עם כיס המרה (GB).,"1. מניע ומפעיל את הצ'י באזור הגב התחתון, הנרתיק והעצה.
2. מחזק ברכיים וגב תחתון.
3. מטפל בבעיות גב תחתון.
4. משחרר התכווצויות מקומיות.
5. לכאבים בכליות עם חוסר יכולת להסתובב וגירוד באיברי המין, יש לדקור נקודות עצה דו-צדדיות ונקודות כואבות נוספות.
Nei Ching
Su Wen – 31: “פונג הוא גורם עיקרי להפרעות רבות. אם המטופל מראה סימנים של כאבי כליות, חוסר יכולת לסובב את הגוף וגרד באיברי המין, יש לדקור את נקודות ליאו דו-צדדיות BL31,32,33,34 בנוסף לנקודות כואבות אלה”",,
136,Bl32,CI LIAO - צִי לִיָאו,Second Bone Hole - נקב העצם השני,Ci - שני,Liao - חריץ בעצם,בנֶקֶב העצם השני בעצם העצה,ניקוב ניצב 0.5-1 צוּן,"1. מקדם את זרימת הצ'י המקומי
2. שולח צ'י לכפות הרגליים
3. שולח צ'י לרחם","מטפל בהפרשות וגינליות לבנות/אדומות
מטפל בקשיי מתן שתן, כאבי גב תחתון
21 קונוסי מוקסה להצטננות רגילה, קור חריף בכפות הרגליים
מטפל בהתכווצויות/עוויתות של הרחם
מטפל בצירים
מקדם את פתיחת צוואר הרחם",,
137,Bl33,ZHONG LIAO - ג'ונג ליאו,Middle Bone Hole - חור העצם האמצעי,"Zhong – center - ג'ונג – מרכז
Liao – notch in a bone - ליאו – חריץ בעצם","ג'ונג – מרכז
ליאו – חריץ בעצם",בפוראמן הסקראלי השלישי,ניקוב אנכי 0.5-1 צון,"1. נקודת מפגש עם כיס המרה (GB)
2. מקדם את זרימת הצ'י המקומית",משפיע על שלפוחית השתן,יש לנקוט משנה זהירות בעת ניקוב עקב קרבה למבנים עצביים.,נקודה זו משמשת לעיתים קרובות לטיפול בבעיות גב תחתון ובעיות אורוגניטליות.
138,Bl34,XIAO LIAO - שיאו ליאו,Lower Bone Hole - חור העצם התחתון,Xia – lower - שיאו – תחתון Liao – notch in a bone - ליאו – חריץ בעצם,Xia – תחתון Liao – חריץ בעצם,In the 4th sacral foramen - בתוך הנקב הסקראלי הרביעי,0.5-1 cun - 0.5-1 צון,1. Promotes the flow of local CHI - מקדם את זרימת הצ'י המקומית.,2. Influences the Bladder - משפיע על שלפוחית השתן,,
139,Bl35,HUI YANG - חווי יאנג,Meeting of Yang - נקודת מפגש היאנג,"Hui – מפגש. Yang – אנרגיית היאנג (צ'י) ממרידיאני GV (מרידיאן השליטה) ו-BL (מרידיאן שלפוחית השתן), שניים ממרידיאני היאנג החשובים, נפגשים כאן.","חווי - מפגש. יאנג - אנרגיית היאנג (צ'י) ממרידיאני GV ו-BL, שניים ממרידיאני היאנג הבולטים, נפגשים בנקודה זו.",0.5 צון לטרלית לקצה עצם הזנב.,החדרה אנכית לעומק של 0.5-1 צון.,"1. מרכזת אנרגיית יאנג (צ'י) מקומית.
2. מקדמת את זרימת הצ'י ופותחת סטגנציה מקומית.
3. מביאה צ'י למערכות הרבייה הגברית והנשית.","1. מטפלת בכאבי גב תחתון במהלך הווסת.
2. מטפלת באימפוטנציה.
3. מטפלת בטחורים.",,
140,Bl36,צֶ'נְג פוּ,קבל ותמיכה,"צֶ'נְג - להחזיק, פוּ - תמיכה. ממוקם באזור הנושא את משקל פלג הגוף העליון.","צֶ'נְג – להחזיק, פוּ – תמיכה. ממוקם באזור הנושא את משקל פלג הגוף העליון.","בצד האחורי של הירך, באמצע הקו האופקי של הישבן.",ניצב 0.5-1 צוּן,"1. לכאבי גב תחתון, סיאטיקה המקרינה לאורך המרידיאן.
2. מקדם את זרימת הצ'י לרגליים.
3. מרגיע שרירים מקומיים.
4. מקדם השתנה.","1. מטפל בכאבי רגליים.
2. מטפל בכאבים מקיפאון נוזלים במרידיאן שלפוחית השתן.
3. מטפל בכאבים מטחורים על ידי ריכוך שרירים מקומיים.",,
141,Bl37,YIN MEN - יִין מֶן,Door of Abundance - דלת השפע,"YIN - שפע, Men - דלת. ממוקם באזור של יין שופע, בשר. ""Men"" הוא התייחסות לנקודת דיקור שבה צ'י נכנס ויוצא.","יִין - שפע, מֶן - דלת. הנקודה ממוקמת באזור עשיר ביִין, כלומר רקמה רכה ושרירית. ""מֶן"" מתייחס לנקודת דיקור דרכה צ'י נכנס ויוצא.",6 צון מתחת ל-BL36 על הקו המחבר בין BL36 ל-BL40.,ניקוב אנכי (פרפנדיקולרי) בעומק של 1 צון.,"1. מקדם את זרימת הצ'י לרגליים.
2. מרפה את השרירים בין העכוזים לברכיים.","טוב לכאבים בגב התחתון, בעכוזים וכאבים המקרינים לאורך הרגל.",יש לעסות לפני הדיקור.,
142,Bl38,פו שי (Fú Xì),נקודה צפה (Nekuda Tzafa),"פו (Fu) - צף, על פני השטח; שי (Xi) - נקודה. השם מתייחס למיקום השטחי מאוד של הנקודה מתחת לעור. מומלץ דיקור שטחי עבור נקודה זו.","פו (Fu) – שטחי, צף. שי (Xi) – נקודה. השם מתייחס למיקום השטחי מאוד של הנקודה מתחת לעור. מומלץ דיקור שטחי לנקודה זו.","1 צון מעל BL39, כאשר הברך כפופה מעט; 1 צון מעל לקפל בית הברך, מדיאלית לגיד ה-biceps femoris.","ניצב, 0.5-1 צון.","1. מקרר צ'י ומזרימו לגב התחתון/אזור הכליות.
2. מרכך את שרירי הגב התחתון.
3. פותח חסימות במרידיאן.","מטפל בכאבי גב תחתון.

ניי צ'ינג:
""כאשר יש חוסר הרמוניה של היאנג צ'יאו, אזור הכליות יהיה דלקתי וכואב. כאב זה מורגש כמו מכה בפטיש. לדקור נקודות יאנג צ'יאו BL59, BL60, BL61 ולהוסיף BL38"".",,
143,Bl39,WÈI YÁNG - וֵי יָאנְג,Bend Yang - יָאנְג הַמְעֻקָּם,"Wei – כפוף, עקום; Yang – יאנג. ממוקם בהיבט היאנג של הברך, בקפל בית הברך.","Wei - כפוף, Yang - יאנג. ממוקם בהיבט היאנג של הברך, בקפל בית הברך.","בצד הצידי של קפל בית הברך, מדיאלי לשריר ה-biceps femoris.",ניקוב אנכי 0.5-1 צון.,"1. ים תחתון של ה-TH (מחמם משולש) תחתון
2. מווסת את שלושת המחממים
3. מקדם טרנספורמציה של נוזלים בגוף
4. מווסת את זרימת הנוזלים בכל שלושת המחממים
5. פותח את מעברי המים","משפיע על שלפוחית השתן (BL) ומטפל בבעיות שתן.
מטפל בבעיות ברכיים, לדוגמה נוקשות כתוצאה מהצטברות נוזלים וחום מקומי.
מטפל בחוסר תחושה והתכווצויות ברגליים מחוסר איזון של יין/יאנג ברגליים.
Nei Ching (ספרות קלאסית ברפואה סינית)
נקודה זו היא חלק מקבוצת נקודות 'ים הרגל' יחד עם GB34, ST36, ST39, ST37.
מחזק את המחמם התחתון. כאשר הוא חלש, יש קושי בשליטה בפתח השופכה והצטברות שתן עם חוסר יכולת להשתין. כאשר המחמם התחתון חלש - יש לחזק BL39. אם יש הצטברות ומלאות של שלפוחית השתן, יש לפזר BL39.",אין,אין
108,Bl4,QU CHAI - צִ'י צָ'אי,Crooked Curve - עִקּוּל עָקוּם,"Qu – bend, crooked (עִקּוּל, עָקוּם); Chai – curved, winding (מְעֻקָּל, מְפותָל). ""Qu chai"" (צִ'י צָ'אי) הוא התייחסות למיקום הנקודה, שאינו על הקו הישר עם BL2 ו-BL3. בנקודה זו המרידיאן סוטה מהנתיב הראשי שלה.","Qu – כיפוף, עקום; Chai – מעוקל, מתפתל. ""צִ'י צָ'אי"" היא התייחסות למיקום הנקודה, אשר אינה נמצאת על קו ישר עם BL2 ו-BL3. בנקודה זו המרידיאן סוטה מהנתיב העיקרי שלו.","3.5 צון מעל הגלבלה, 1.5 צון לטרלית לקו האמצע או 1/3 הדרך מקו האמצע ל-ST8.",מידע על טכניקת הדיקור אינו סופק.,1. מוריד צ'י מטה.,"1. מטפל בכאבי ראש פרונטליים. 
2. פותח חסימות בסינוסים הפרונטליים.",אזהרות לא סופקו.,הערות לא סופקו.
144,Bl40,וֵיי ג'ונְג,כיפוף אמצעי,"וֵיי – קפל, עקום ג'ונְג – מרכז. ממוקם במרכז הקפל האחורי של הברך (פופליטאלי)","וֵיי – קפל, עקום ג'ונְג – מרכז. ממוקם במרכז הקפל האחורי של הברך (פופליטאלי)",במרכז הקפל האחורי של הברך (פופליטאלי),"ניצב, 0.5-1 צוּן","1. נקודת ים (He-Sea)
2. נקודת אדמה
3. נקודת יציאה של המרידיאנים הדיברגנטיים של הכליה ושלפוחית השתן
4. נקודת שליטה של הירכיים והגב התחתון
5. מקררת את הדם
6. מטהרת את הדם
7. מרגיעה את ה-SHEN
8. מסדירה את H-E-M","1. מטפלת בבעיות שינה
2. מטפלת בכאב המקרין לאורך כל הרגל
3. מטפלת בכאבי גב תחתון, כאבי חזה וכאבי ירך
4. מטפלת בבעיות עור מחום בדם
Nei Ching
Su Wen – 32: “אחת מהנקודות לסילוק חום מהגפיים, האחרות הן KID11, LU2 ו-CO15”
Su Wen – 35: “כאשר רוח רעה חודרת לטאי יאנג, המטופל יסבול מכאבי כליות, תחושת כבדות בראש וקור בגב ולבסוף יהיה לו חום גבוה. אם קידום הזעה לא מרפא את המטופל, דקרו והקזו דם ב-BL40”
Su Wen – 36: “כאשר רוח רעה חודרת לכליה, המטופל ירעד, יסבול מכאבים בכליות ובגב, עצירות, בעיות ראייה והאישונים ינועו כל הזמן. דקרו BL40, KID4 ו-KID3.” בכל המחלות הנובעות מרוח, דקרו BL40 3 פעמים. לאחר הפעם הראשונה ה-CHI הרע יאבד מכוחו. לאחר הפעם השנייה מצבו של המטופל יחזור לקדמותו. לאחר הפעם השלישית המטופל יירפא. אם זה לא המקרה, דקרו והקזו דם את נקודת האיחוד של המרידיאנים, הממוקמת מתחת ללשון. (נקודות אלו הן “zin zin” ו-“yee yee” הן נקודות המפגש של צ'י הכליה עם הלשון). אם המטופל לא מתאושש מיד, דקרו והקזו דם ב-BL40. אם הוא עדיין לא התאושש, דקרו את 5 נקודות ה-SHU של איברי ה-Zang ואת 5 הנקודות הצידיות להן. “כאשר ההפרעה נובעת מ-FONG יש לדקור את הנקודה המדויקת או שהמחלה תחמיר. אם המחלה באה לידי ביטוי בכאבי ראש, הירדמות ואי נוחות ברגליים, אז עלינו לדקור את הנקודות הממוקמות על הראש ועל הקרסול הצידי - BL61. אם המחלה מתחילה בכאב בעמוד השדרה וכאב ליד הכליות, דקרו והקזו דם ב-BL40.”
Su Wen – 41: “כאשר מרידיאני הטאיי יאנג מותקפים, המטופל יסבול מכאבים ליד הכליות המקרינים כלפי מעלה לצוואר ומטה לירכיים. הוא ירגיש כאילו הוא נושא מטען כבד. דקרו ב-BL40 והקזו דם. אם זה קורה במהלך האביב, אל תדקרו נקודה זו”",,
145,Bl41,פו צ'נג (Fu Cheng),ענף מחובר (Attached Branch),"פו – לעזור, לתמוך; צ'נג – להחזיק, להרים. הנקודה הראשונה בקו השני של המרידיאן. היא נתפסת כמרידיאן משני המספק צ'י למרידיאן הראשי.","פו – לעזור, לתמוך; צ'נג – להחזיק, להרים. הנקודה הראשונה בקו השני של המרידיאן. היא נתפסת כמרידיאן משני המספק צ'י למרידיאן הראשי.",3 צון לטרלית לקו האמצע הגבי העליון (L.B.S.P.) של T2 (בגובה BL12).,"ניצב, 0.5-0.8 צון.","1. נקודת מפגש עם טאי יאנג.
2. נקודת מפגש עם מרידיאן המעי הדק.
3. מגרשת פתוגנים חיצוניים.","1. מטפלת בכאב גב עליון.
2. מוקסה לגירוש רוח קרה מקומית.",,
146,Bl42,PO HU - פּוּ הוּ,Po Entrance - כניסת הפוּ,"Po (פּוּ) - נשמה פיזית; Hu (הוּ) - דלת. לפי ה""סוּ וֶן"", הפוּ מאוחסן בריאות. נקודה BL42 ממוקמת לטרלית לנקודת השוּ של הריאות, BL13. היא נקראת ""כניסת הפוּ"". המקום בו הצִ'י נכנס ויוצא.","פּוּ – הנשמה הפיזית; הוּ – דלת. על פי ה""סוּ וֶן"" (Su Wen), הפוּ מאוחסן בריאות. BL42 ממוקמת לטרלית לנקודת השוּ של הריאות, BL13. היא נקראת ""כניסת הפוּ"", המקום בו הצִ'י נכנס ויוצא.",3 צון לטרלית לקו האמצע האחורי של T3 (בגובה BL13).,"אלכסונית, 0.5-0.8 צון.","הפּוּ הוא ההיבט הרוחני של הריאות.
מחזק את ההיבטים הפיזיים: דם (Xue), צִ'י ויִין.
מחזק את הקשר של האדם לאדמה.
מחזק ומקדם את הביטוי של החוזק והצרכים הפנימיים של האדם.","1. מאזן את ההוּן.
2. עוזר להביא רעיונות ופנטזיות לפרופורציה.
3. מחזק את הנשימה.
נֶי צִ'ינג (Nei Ching).
סוּ וֶן (Su Wen) – 36: ""שייך לקבוצת הנקודות המטפלות במחלות רוח המפריעות לאיזון הפנימי של 5 האלמנטים, כאשר הסימפטומים מופיעים יותר בשעות הלילה עם דופק מלא, מהיר ומשתנה, לדקור BL49, 47, 44, 52 ולהזליף דם מ- BL42"".",,
147,Bl43,GAO HUANG - גָאוּ חְוָאנְג,Shu of the Vital Centers - שוּ של המרכזים החיוניים,"Gao – אזור מתחת ללב Huang – הקרום מעל הסרעפת. האזור ""גָאוּ חְוָאנְג"" ממוקם ישירות מתחת ללב. טקסטים עתיקים מתארים אזור זה כמארח איברים חיוניים בעלי תפקידים חשובים במאבק בפאתוגנים חיצוניים התוקפים את הלב. בארבעת ספרי הדיקור נכתב שמחלות מעל ה-Huang ומתחת ל-Gao ניתנות לריפוי. אך לא על ידי פורמולות צמחים או דיקור. זה יכול להיעשות רק על ידי מוקסה על BL43.","Gao – אזור מתחת ללב, Huang – הקרום מעל הסרעפת. האזור ""גָאוּ חְוָאנְג"" ממוקם ישירות מתחת ללב. טקסטים עתיקים מתארים אזור זה כמארח איברים חיוניים בעלי תפקידים חשובים במאבק בפאתוגנים חיצוניים התוקפים את הלב. בארבעת ספרי הדיקור נכתב שמחלות מעל ה-Huang ומתחת ל-Gao ניתנות לריפוי. אך לא על ידי פורמולות צמחים או דיקור. זה יכול להיעשות רק על ידי מוקסה על BL43.",3 צון לטרלית ל-L.B.S.P. של T-4 (בגובה BL14),אלכסונית והרחק מהעמוד השדרה 0.5-1 צון,"1. מסדיר את הצ'י של הריאות והלב
2. מחזק את הג'יאו העליון במצבי חוסר
3. מחזק את הצ'י של ST/SP, מחזק JE-CHI, XUE, JIN
4. מחזק את הדם ואת זרימת הדם","1. מטפל בהיסטריה אצל נשים מחוסר דם והפרעת SHEN
2. מחזק את הדפקים של האדמה והריאות
3. מחזק צ'י
4. תומך בשמירה על צ'ינג
5. מחזק יכולות מנטליות",,
148,Bl44,SHEN TANG - שֵׁן טָאנְג,Shen Temple - מקדש הנשמה,"Shen - רוח, נשמה. Tang - מקדש. הלב מאחסן את ה-SHEN. נקודת BL44 ממוקמת לטרלית ל-BL15 (נקודת השו של הלב).","שֵׁן (Shen) מייצג את הרוח, הנשמה או התודעה, וטָאנְג (Tang) מתייחס למקדש. הנקודה ממוקמת בסמוך לנקודת BL15, נקודת השו של הלב, האיבר אשר אחראי על אחסון ה-Shen.",3 צון לטרלית לקו האמצע האחורי של T5 (בגובה BL15),"אלכסונית, 0.5-0.8 צון","ה-SHEN הוא ההיבט הרוחני של הלב.
מרגיעה את הנשמה.
מאזנת את הלב.
מרגיעה את הגוף.
מקדמת חיוניות.
מווסתת בין SHEN ו-HUN.
תומכת בדם – נוזל החיים.
מחברת את האדם לטבעו האמיתי.",1. מקדמת חשיבה מסודרת.,,
149,Bl45,יי שי (YI XI),"בכי, אנחה, צחוק","יי/שי - בכי, אנחה, צחוק. טקסטים רבים מסכימים שכאשר מופעל לחץ על BL45, המטופל יצחק, יבכה או יאנח.","יי/שי - בכי, אנחה, צחוק. טקסטים רבים מסכימים שכאשר מופעל לחץ על BL45, המטופל יצחק, יבכה או יאנח.",3 צון לטרלית לקו האמצע האחורי של T6 (בגובה BL16).,אלכסונית 0.5-0.8 צון.,"1. מחזק את ה-טאי יאנג.
2. מחזק את ה-ווי צ'י.
3. מגרש פתוגנים של רוח חיצונית.
4. מחזק את זרימת הצ'י מתוך הגוף החוצה.
5. מכווץ את הנקבוביות על ידי הבאת יאנג לעור.
6. מחזק את זרימת הצ'י והדם.","1. מטפל בהתעלפויות וכאבי ראש מחוסר צ'י ודם.
2. מטפל בהצטננות רגילה.
3. עם מוקסה לטיפול ברוח אלימה הגורמת להזעה.
Nei Ching
Su Wen – 60: ""כאשר לוחצים על הנקודה באצבע, בקש מהמטופל לבכות, הנקודה קופצת תחת לחץ. אם למטופל יש כאבים בחלק הקדמי של הגוף ובצדדים המקרינים לבטן התחתונה (שהיא דלקתית), דקרו את הנקודה"".",,
150,Bl46,GE GUAN - 膈關 (תעתיק פין-יין לעברית),שער הסרעפת,"Ge - סרעפת, Guan - שער. ממוקם 1.5 צון לטרלית ל-BL17 (נקודת השו של הסרעפת). ""Guan"" מראה לנו שהסרעפת נתפסת כשער בין הג'יאו העליון והאמצעי. יכול להתייחס גם לנקודת כניסה/יציאה של צ'י.","Ge - סרעפת, Guan - שער. ממוקם 1.5 צון לטרלית ל-BL17 (נקודת השו של הסרעפת). ""Guan"" מראה לנו שהסרעפת נתפסת כשער בין הג'יאו העליון והאמצעי. יכול להתייחס גם לנקודת כניסה/יציאה של צ'י.",3 צון לטרלית לקו האמצע הגבי של T7 (בגובה BL17),"ניצב, 0.5-0.8 צון","1. פותחת את מעברי הצ'י בין הג'יאו העליון לאמצעי ובחזרה.
2. מסדירה טחול/קיבה.
3. מסדירה צ'י ריאות.
4. מסדירה בין ריאות לטחול.","1. מנקה סטגנציות ומרגיעה את הקיבה.
2. מטפלת בקושי בבליעת נוזלים ומוצקים.
3. מטפלת בהקאות וגיהוקים.",אין מידע זמין,אין מידע זמין
151,Bl47,HUN MEN - הון מן,Hun Door - דלת ה-Hun,"Hun – הגוף האסטרלי Men – דלת, שער נאמר כי ה-HUN נכנס ויוצא מהגוף דרך נקודה זו","הון - הגוף האסטרלי מן - דלת, שער. נאמר כי ה-HUN נכנס ויוצא מהגוף דרך נקודה זו.",3 צון לטרלית לקו האמצע הגבי התחתון של T9 (בגובה BL18),"ניצב, 0.5-0.8 צון","1. נקודת Shu של ה-Hun, ההיבט הרוחני של הכבד
2. מקדמת יצירתיות
3. מחזקת את הקשר בין ה-SHEN ל-Hun
4. מפעילה ומסדירה את הקשר בין Po ל-Hun
5. מפתחת את הדמיון","1. שימושית בטיפול במטופל שמרגיש תקוע ואין לו רעיונות חדשים
2. מקדמת בהירות מחשבתית
3. מנקה קיפאון מנטלי
4. מנתקת את המטופל מחומריות מוגזמת
Nei Ching
Su Wen – 26: ""לטיפול בכאבי לב כאשר למטופל אין בעיה לב פיזית. במקרה זה יש לעסות את BL47 לתקופה ממושכת, לדקור אותו ולעסות אותו שוב. כל הכאב צריך להשתחרר מיד. אם לא, לדקור ולעסות את הנקודות מעליו ומתחתיו"".",,
152,Bl48,YANG GANG - יַאנְג גַאנְג,Essence of Yang - תמצית היאנג,"Yang - יאנג, Gang - תמצית. באופן כללי, נאמר כי הנקודות על הקו הצידי של מרידיאן שלפוחית השתן מרחיבות את תפקודי הנקודות על הקו האמצעי. מכיוון שנקודת ה-Shu של כיס המרה ממוקמת 1.5 צון מדיאלית ל-BL48, BL48 נחשבת לנקודה עם קשר לכיס המרה. כיס המרה הוא הנציג היאנג של אלמנט העץ - אביב. האביב הוא עונת היאנג הראשונה.","יאנג – יאנג, גנג – תמצית. באופן כללי, נאמר כי הנקודות על הקו הצידי של מרידיאן שלפוחית השתן מרחיבות את תפקודי הנקודות על הקו האמצעי. מכיוון שנקודת ה-Shu של כיס המרה ממוקמת 1.5 צון מדיאלית ל-BL48, BL48 נחשבת לנקודה עם קשר לכיס המרה. כיס המרה הוא הנציג היאנג של אלמנט העץ - אביב. האביב הוא עונת היאנג הראשונה.",3 צון לטרלית לקו ה-L.B.S.P. של T10 (בגובה BL19),ניקוב אנכי בעומק 0.5-0.8 צון,"1. נקודת רפלקס לקיפאון צ'י ב-middle jiao (מחמם אמצעי)
2. מקדמת את זרימת היאנג
3. מנקה קיפאון (בעיקר ב-middle jiao)
4. מחזקת את ה-CHI המתפרץ של כיס המרה, פותחת חסימות בכיס המרה
5. תומכת בהיבט היאנג של העץ
6. מזרימה צ'י לקיבה (ST), מעי דק (SI) ומעי גס (CO), ופותחת קיפאון מקומי בכל מערכת","1. מנקה מלאות מהקיבה והמעיים
2. משחררת גזים מהמעיים
3. מקדמת את תנועת הסרעפת, מועילה לריאות, מקדמת זרימת צ'י בין המחממים העליונים והאמצעיים",,
153,Bl49,יי שה (YI SHE),בית הרעיונות (Beit HaRa'ayonot),"יי (Yi) – רעיון, שה (She) – בית. ממוקם 1.5 צון לטרלית מנקודת השו של הטחול (BL20). נקודות אלו מכילות ריכוז גבוה של צ'י הטחול. הטחול מאחסן את היכולת שלנו להרהר.","יי מייצג את יכולת ההרהור, הזיכרון והריכוז. נקודה זו מחזקת את יכולות אלו.",3 צון לטרלית לקו האמצע הגבי של T11 (בגובה BL20).,ניקוב אנכי בעומק 0.5-0.8 צון.,"1. יי הוא ההיבט הנפשי והרוחני של הטחול.
2. מחזק את הטחול.
3. מחזק את היכולת לחשוב ולהתרכז.
4. מקרקע את המטופל.
5. מקדם ריכוז מנטלי.
6. מקדם יציבות מנטלית ופיזית.
7. מקדם חשיבה שגרתית, יציבה ועקבית.
8. מווסת את 5 ההיבטים הרוחניים.
9. יי הוא הנציג של האדמה בין 5 ההיבטים הרוחניים. לכן הוא ממוקם במרכז. ה-4 הנותרים עוברים דרכו ומושפעים ממנו.","1. מווסת ומחזק את המחמם האמצעי.
2. מווסת את אלמנט האדמה.
3. מווסת את הטחול והקיבה.",ללא מידע,ללא מידע
