id,point_code,chinese_pinyin,english_name,chinese_characters,etymology,description,location,needling,functions,secondary_functions,cautions,notes,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew,search_keywords_hebrew,created_at
145,Bl41,FU CHENG,Attached Branch,附分,,"Fu – to help, support Cheng – to hold, raise up The first point of the second line of the meridian. It is seen as a secondary meridian supplying the main meridian with CHI. ","3 cun lateral to the L.B.S.P. Of T2 (level with BL12) ","Perpendicular, 0.5-0.8 cun ","1. Meeting with Tai Yang
2. Meeting with the SI meridian
3. Expels external pathogens
","1. Treats upper back pain
2. Moxa to expel local cold wind
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
146,Bl42,PO HU,Po Entrance,魄戶,,"Po – physical soul Hu – door According to the Su Wen the Po is stored in the lungs. BL42 is located lateral to the Shu point of the lungs , BL13. It is called Po entrance. The place where CHI goes in and out ","3 cun lateral to the L.B.S.P. Of T3 (level with BL13) ","Diagonal, 0.5-0.8 cun ","The Po is the spiritual aspect of the lungs
Strengthens the physical aspects; Xue, CHI and Yin
Strengthens man connection to earth
Strengthens and promotes the expression of the internal strength and needs of the person
","1. Balances the Hun
2. Helps bring ideas and fantasies into proportion
3. Strengthens breathing
Nei Ching
Su Wen – 36: “Belongs to the group of points that treat wind disease disturbing the internal balance of the 5 elements, when the symptoms appear more at night time with a full, fast and changing pulse, needle BL49, 47, 44, 52 and bleed BL42”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
147,Bl43,GAO HUANG,Shu of the Vital Centers,膏肓俞,,"Gao – area under the heart Huang – the membrane on top of the diaphragm The area “gao huang” is located directly under the heart. Ancient texts describe this area as one that hosts vital organs which have important functions of combating external pathogens attacking the heart. In the 4 books of acupuncture it is written that diseases above the Huang and under the Gao are curable. But not by herbal formulas or by acupuncture. This can only be done by moxa on BL43 ","3 cun lateral to the L.B.S.P. Of T-4 (level with BL14) ","Diagonal and away from the spine 0.5-1 cun ","1. Regulates the CHI of the lungs and heart
2. Strengthens the upper jiao when deficient
3. Tonifies CHI of ST/SP,  tonifies JE-CHI, XUE, JIN
4. Strengthens blood and circulation of blood
","1. Treats hysteria in women from blood deficiency and SHEN disturbance
2. Strengthens the pulses of earth and the lungs
3. Tonifies CHI
4. Supports the preservation of Ching
5. Strengthens mental capabilities
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
148,Bl44,SHEN TANG,Shen Temple,神堂,,"Shen – spirit, soul Tang – temple The heart stores the SHEN. BL44 is located lateral to BL15 (the shu point of the heart) ","3 cun lateral to L.B.S.P. Of T5 (level with BL15) ","Diagonal 0.5-0.8 cun ","SHEN is the spiritual aspect of the heart
Calms the soul
Balances the heart
Calms the body
Promotes vitality
Regulates between SHEN and HUN
Supports blood – the fluid of life
Connects the person to his true nature
","1. Promotes orderly thinking
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
149,Bl45,YI XI,"a Cry, Sigh, Laugh",譩譆,,"Yi/Xi – cry, sigh, laugh Many texts agree that when pressure is applied to BL45 the patient will laugh, cry or moan ","3 cun lateral to the L.B.S.P. Of T6 (level with BL16) ","Diagonal 0.5-0.8 cun ","1. Tonifies the Tai Yang
2. Tonifies the Wei CHI
3. Expels external wind pathogens
4. Strengthens the flow of CHI from within the body outward
5. Contracts the pores by bringing yang to the skin
6. Strengthens the flow of CHI and blood
","1. Treats fainting and headache from deficient CHI and blood
2. Treats the common cold
3. With moxa to treat violent wind causing sweating
Nei Ching
Su Wen – 60: “When pressing on the point with the finger ask the patient to cry, the point bounces under pressure. If the patient has pains at the front of the body and the sides that are radiating to the lower abdomen (which is inflamed), needle the point”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
150,Bl46,GE GUAN,Diaphragm Gate,膈關,,"Ge – diaphragm Guan – gate Located 1.5 cun lateral to BL17 (the shu point of the diaphragm). “Guan” shows us that the diaphragm is seen as a gate between the upper and middle jiaos. It can also be a reference to an entrance/exit point of CHI.” ","3 cun lateral to the L.B.S.P. Of T7 (level with BL17) ","Perpendicular 0.5-0.8 cun ","1. Opens the passageways of CHI between the uper jiao and middle jiao and vice versa
2. Regulates SP/ST
3. Regulates lung CHI
4. Regulates between LU and SP
","1. Clears stagnations and calms the ST
2. Treats difficulty in swallowing fluids and solids
3. Treats vomiting and belching
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
151,Bl47,HUN MEN,Hun Door,魂門,,"Hun – the astral body Men – door, gate It is said that the HUN enters and exits the body via this point ","3 cun lateral to the L.B.S.P. Of T9 (level with BL18) ","Perpendicular, 0.5-0.8 cun ","1. Shu point of the Hun, the spiritual aspect of the liver
2. Promotes creativity
3. Strengthens the connection between SHEN and Hun
4. Activates and regulates the connection between Po and Hun
5. Develops the imagination
","1. Useful in treating a patient who feels stuck and has no new ideas
2. Promotes mental clarity
3. Clears mental stagnation
4. Disconnects the patient from excess materialism
Nei Ching
Su Wen – 26: “For treating heart pain when the patient does not have a physical heart problem. In this case massage BL47 for an extended period of time, needle it and massage it again. All the pain should be relieved immediately. If not, needle and massage the points above and below it”.
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
152,Bl48,YANG GANG,Essence of Yang,陽綱,,"Yang – yang Gang – essence Generally it is said that the points on the lateral line of the bladder meridian broaden the functions of those on the medial line. Since the shu point of GB is located 1.5 cun medial to BL48, BL48 is considered a point with a connection to the GB. GB is the yang representative of the wood element – spring. Spring is the first yang season ","3 cun lateral to the L.B.S.P. of T10 (level with BL19) ","Perpendicular 0.5-0.8 cun ","1. Reflex point for CHI stagnation in the middle jiao
2. Promotes the flow of yang
3. Clears stagnation (mostly in the middle jiao)
4. Strengthens GB's bursting CHI, opens blockages in GB
5. Supports the yang aspect of wood
6. Flows CHI to ST, SI and CO opening local stagnation in each system
","1. Clears fullness from the stomach and intestines
2. Releases intestinal gas
3. Promotes the motion of the diaphragm, benefits the lungs,
promotes CHI flow between upper and middle heaters
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
153,Bl49,YI SHE,House of Ideas,意舍,,"Yi – idea She – house Located 1.5 cun lateral from the shu point of SP (BL20). These points contain a high concentration of SP CHI. The SP stores our ability to reflect. ","3 cun lateral to the L.B.S.P. of T11 (level with BL20) NEEDLED
Perpendicular 0.5-0.8 cun ",,"1. YI is the mental, spiritual aspect of the SP
2. Tonifies SP
3. Strengthens the ability to think and concentrate
4. Grounds the patient
5. Promotes mental concentration
6. Promotes mental and physical stability
7. Promotes routine, stable, consistent thinking
8. Regulates the 5 spiritual aspects
9. YI is earth's representative amongst the 5 spiritual aspects. Therefore it is located
at the  center. The remaining 4 pass through it and are influenced by it.
","1. Regulates and strengthens the middle jiao
2. Regulates earth
3. Regulates SP and ST
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
109,Bl5,WU CHU,Five Regions,五處,,"Wu – 5 Chu – region (5th place) The 5th point on the BL meridian 5 area points according to the 5 elements ","4.5 cun above the glabella, 1.5 cun lateral to the midline ","Diagonal (flat) 0.3-0.5 cun ","1. Calms internal wind
2. Balances CHI of the 5 elements, balances the entire body
3. Balances the circulation of Wei/Ying CHI via the Ko and Sheng cycles
","Treats chronic snot
Regulates the circulation of Wei CHI
Treats headache resulting from stagnation of Wei CHI in the head
Nei Ching
Nei Ching – 26: “From the group of points that treat migraines (heavy head with local pain), as a result of a disturbance of the flow due to evil/wind CHI penetrating” the other points in this group are BL 6-7-8-9
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
154,Bl50,WEI CANG,Stomach Granary,胃倉,"Cang - granary
","Wei – stomach In classical texts the ST is referred to as a granary. BL50 is located 3 cun lateral to the shu point of the stomach (BL21). It is considered the point where ST CHI is stored. ","3 cun lateral to the L.B.S.P. of T12 (level with BL21) ","Perpendicular 0.5-0.8 cun ","1. Strengthens the stomach's function
2. Balances and regulates yin/yang in the stomach
3. Balances and regulates CHI/XUE in the stomach
4. Clears stagnation of food and fluid in the stomach
5. Cleanses the stomach of phlegm
","1. Treats all stomach problems stemming from imbalance of yin/yang, CHI/XUE
2. Treats stomach ache and swelling
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
155,Bl51,HUANG MEN,Vital Gate,肓門,,"Huang – the membrane above the diaphragm Men – gate Located at the gate of CHI flow between the middle and lower heaters ","3 cun lateral to the L.B.S.P. Of L1 (level with Bl20) ","Diagonal 0.5-1 cun ","1. Regulates the TH
2. Regulates the flow of CHI between the upper and middle heaters and vice versa
3. Raises pure CHI from the SP to the upper jiao
4. Brings down pure CHI from the LU to the lower/middle jiao
","1.  Treats tension near the heart (the Huang region)
2.  Clears CHI stagnation in the upper and middle heaters
3.  Treats shortness of breath
4.   Regulates and activates the digestive system
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
156,Bl52,ZHI SHI,Chamber of  Will,志室,,"Zhi– will power Shi – chamber, room The kidneys store the will power. BL52 is located 1.5 cun lateral to BL23 the shu point of the kidneys ","3 cun lateral to the L.B.S.P. of L2 (level with BL23) ","Perpendicular 0.5-1 cun ","Strengthens the will power, ZHI (the spiritual aspect of the kidneys)
Tonifies the kidneys especially KID yin
Concentrates the Jing, strengthens the connection between SHEN and Ching
Concentrates KID CHI
Brings the creativity of SHEN – Hun into action
Supports the person as he/she is
Supports the true nature and promotes self confidence
Regulates between SHEN and Zhi
Regulates between spirituality and physicality
Helps overcome fear and nervousness by strengthening the will power and the ability to act
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
157,Bl53,BAO HUANG,Huang Envelope,胞肓,,"Bao – envelope, wrapping, membrane Huang – membrane under the naval In ancient texts, “bao” referred to the bladder in general or to the womb specifically. Since the Su Wen claims that “the huang eminents from under the navel” The name seems to refer one of these organs ","3 cun lateral to the midline at the height of the 2nd sacral foramen (BL28) ","Perpendicular 0.5-1 cun ","Opens the waterways
Promotes transformation and transportation of fluids
Flows CHI to the womb
Regulates the CHI of the lower jiao and the reproductive organs in men and women
Tonifies the bladder
","1. Treats internal, surfaced or local pain
2. Treats lower back/hip pain
3. Releases pressure from the bladder
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
158,Bl54,ZHI BIAN,Sequential Limit,秩邊,,"Zhi – sequential Bian – side, border, edge BL54 is the last point on the lateral line of the BL meridian before it continues to flow behind the leg. It is the lower border of the sequence, which began at BL41 ","3 cun lateral to the midline of the back, at the height of the 4th sacral foramen ","Perpendicular 0.5-1 cun ","1. Promotes flow of local CHI
","1. Treats lower back pain radiating to the gluteus and legs
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
159,Bl55,HE YANG,Yang Union,合陽,,"He – to unify Yang – yang Located directly under the He – sea point of the BL, under the popliteal crease where an internal branch of the BL unifies with the main meridian. “Yang” refers to BL, a yang meridian ","2 cun under BL40, at the back midline of the thigh, between the 2 heads of the gastrocnemius muscle ","Perpendicular 0.5-1 cun ","Releases contraction in the BL meridian
Releases pressure in the BL
Clears stagnation from the BL
","1. Treats pain along the BL meridian
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
160,Bl56,CHENG JIN,Muscle Support,承筋,,"Cheng  – to support Jin – muscles Located between the heads of the gastrocnemius, this point is used to treat muscle problems and local problems ","5 cun under BL40 on the back midline of the thigh, at the center of the gastrocnemius muscle ","Perpendicular 0.5-1cun, massage before needling ","Strengthens the yang function (flexion, extension) of the leg muscles
","1. Treats muscular pain along the leg
2. Treats weakness of the leg muscles
3. Treats atrophy of the leg muscles
Nei Ching
Nei Ching – 52: “There are 4 crucial areas that are influenced by pathologies in the meridians; the chest, the abdomen, the legs and the calves. Needle these areas to prevent blockages of CHI. On the head, needle the head point, on the chest the chest point, on the abdomen, the abdomen point on both sides of the naval, on the thighs BL56, 57 and 58. Use small needles and massage the points before needling”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
161,Bl57,CHENG SHAN,Mountain Support,承山,,"Cheng – support Shan – mountain The gastrocnemius muscles are compared to 2 mountains. BL57 is located at a point that supports the weight of these mountains ","8 cun under BL40 on the midline, at the top of the triangle that is formed when the leg is in plantar flexion ","Perpendicular 0.5-1 cun ","Strengthens the gastrocnemius muscles
Supports the body's stability
Strengthens the legs
Opens contractions and blockages along the BL meridian
Nei Ching
Su Wen – 41: “for lumbar pain caused by strain in the BL meridian, and when this pain appears suddenly needle BL57”
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
162,Bl58,FEI YANG,Flying Yang,飛揚,,"Fei – to fly Yang – to rise, disperse BL58 is the Lou point of the BL where the meridian attaches to the KID. From here the CHI disperses from the yang side to the yin side of the leg. This is where yang (BL) is dispersed to yin (KID) ","7 cun above BL60 half way between the posterior midline of the leg and the posterior border of the tibia ","Perpendicular 1 cun ","1. Lou point, sends a branch to KID3
2. Activates KID yin
3. Opens blockages on the yin level
4. Moves yin and yang throughout the body
","1. Removes blockages from the meridian
2. Treats headaches and stuffed nose
3. Treats pain of the spine
Nei Ching
Ling Shu – 21: “When a hot or cold disease attacks the skin, the skin begins to hurt until one can no longer lie down on it. Also the patient will not sweat and his skin and nose will be dry. In this case needle this point to disperse the heat, then support the lungs”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
163,Bl59,FU YANG,Yang Instep,跗陽,,"Fu – the yang aspect of the foot Yang – yang Located above the yang aspect of the foot ","3 cun directly above BL60 ","Perpendicular 0.5-1 cun ","Point on the Yang Qiao Mai
XI – Cleft of the Yang Qiao Mai
Strengthens the Yang Qiao Mai
Supports the flow of yang throughout the body
","1. Strengthens the back
2. With BL61+BL62 for kidney pain when the Yang Qiao is attacked
Nei Ching
Su Wen – 41: “for kidney pain that emanates from attack of the Yang Qiao, pain that feels like being struck by a hammer with swelling, needle the Yang Qiao points of the leg. These points are BL59, BL61 and BL62”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
110,Bl6,CHENG GUAN,Receiving Light,承光,,"Cheng – to receive, hold Guang  – light, to shine The sun's light or the flow of yang CHI in the head are referenced here. BL6 is located at the top of the head ","5.5 cun above the glabella, 1.5 cun lateral to the midline ","Diagonal 0.3-0.5 cun in the direction of the meridian's flow ","1. Tonifies yang in the head and face.
","1. Treats pain radiating from the neck to the head
2. Special point for visual impairment
Nei Ching
Nei Ching – 26: “From the group of points that treat migraines (heavy head with local pain), as a result of a disturbance of flow due to evil/wind CHI penetrating” “the other points in this group are BL 6-7-8-9”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
164,Bl60,KUN LUN,Kun Lun Mountains,崑崙,,"The lateral malleolus is compared to the Kun Lun Mountains in China ","In the notch half way between the lateral malleolus and the posterior border of the achilles tendon ","Perpendicular 0.5 cun ","Jing - River point
Fire point
Reflex point
Influences all the body fluids, beginning point of the body fluids circulation
Flows yin to the upper portion of the body especially the head
","1. Cools heat at the skin level
2. Purifies heat by promoting the flow of water and fluids from KID yin
3. Strengthens the back
4. Treats pain along the spine
5. Treats labor pains
6. Treats disturbance of the kidneys – pain of the heart radiating to the back accompanied
by spasms, inability to stand add BL61, if unsuccessful add KID2 +KID3
Nei Ching
Nei Ching – 20: “When evil CHI attacks the kidneys, the patient will have pains in the bones, there will be looseness of  the yin when there is looseness the source of deficiency is in the yin. If no point hurts under pressure or the pain is not surfaced needle the point. When the abdomen is inflamed and there is kidney pain, constipation and the patient is complaining of vertigo, needle KID1 + BL60.
Nei Ching – 26: “In kidney disturbances the patient will feel pain in the heart that radiates to the back. He will have frequent spasms (pain that feels like being stabbed in the back) he will be unable to stand straight. Needle BL64 and BL60. If the patient does not recover after removing the needles, needle KID2 and KID3”.
Nei Ching – 38: “When there is CHI deficiency of the superior aspects of the body with vertigo at the upper part, intestinal noise and constipation at the center and paralysis at the bottom. In all of these instances tonify BL60 and leave the needle in for an extended period of time”.
Su Wen – 60: “For kidney pain with the sensation of confusion, needle BL60, 64 and 65”.
Ling Shu – 28: “For deficiency of the lower aspect with weakness and cold of the legs and a sensation of heaviness and stagnation in the area of the heart, needle this point”.
Ling Shu – 24: “When kidney CHI causes heart pain, needle this point with BL64”.
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
165,Bl61,PU CAN,Subservient Visitor,僕參,,"Pu – servant, slave Can – spirit, soul, to visit a person of higher status ","At the lateral aspect of the achilles tendon, directly under BL60, where the red and white skin meet ","Perpendicular 0.5 cun ","Point on the Yang Qiao Mai
","1. Treats pain of the kidneys as a result of the Yang Qiao being attacked
2. Treats lower back pain with difficulty bending over
Nei Ching
Su Wen – 41: “For lumbar pain, with inability to bend forwards or backwards, needle BL61 and BL62”.
Su Wen – 63: “If evil CHI is dwelling in the Yang Qiao causing pain in the eyes starting at the internal angle (of the eye), needle BL61 + BL62, If the left eye is affected needle the right and vice versa. The patient will recover in approximately 1 hour”.
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
166,Bl62,SHEN MAI,Extending Vessel,申脈,"The Yang Qiao Mai begins to widen above this point. “SHEN” is also 3:00pm. - 5:00pm (BL)
","Shen – to extend, the 9th stem (BL) Mai – channel, vessel ","Approximately 1 cun under the middle of the peak of the lateral malleolus NEEDLED
Perpendicular 0.3-0.5 cun ",,"1. Master point of the Yang Qiao Mai
2. Couple point of the GV
3. Moves yang
4. Moves CHI through the meridians
","1. Treats pain and other pathologies of the GV along the back
Nei Ching
Su Wen – 69: “When evil CHI attacks the BL meridian, pain will appear in the internal corner of the eye, needle this point on the opposite side”
Ling Shu – 28: “Constant yawning is treated with KID6 and BL62”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
167,Bl63,JIN MEN,Gold Door,金門,"The metal element is connected to the hours 3-5 am on the biological clock. The BL is also related to this time. The CHI and blood in the BL meridian flow through this point at this time of day. BL63 is also an intersection of the Yang Wei with the BL.
","Jin – metal, gold Men – door ","In the notch on the line connecting BL62-BL64 NEEDLED
Perpendicular 0.3-0.5 cun ",,"1. Xi – Cleft point, regulates CHI and blood in the meridian
2. Exit point of the Yang Wei Mai
Nei Ching
Su Wen – 41: “When the Yang Wei is attacked the patient will have sudden swellings and pain of the lumbar area. Needle the exit point of the Yang Wei and the unifying point of this meridian with Shao Yang (GB35)”
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
168,Bl64,JING GU,Capital Bone,京骨,,"Jing – big Gu – bone In ancient times the 5th metatarsal bone was called jing gu. BL64 is located under this bone ","In the notch distal and inferior to the sub-tuberosity of the 5th metatarsal bone, where the red and white skin meet ","Perpendicular 0.5 cun ","1. Yuan point, receives a branch from KID4
2. Sends CHI down
3. Brings down fullness from the upper jiao
Nei Ching
Su Wen – 36: “Under the influence of Fong, the patient has fever and chills, the pulse is week, full or fast. Burn moxa on KID3 and needle the yang point of the Cu Tai Yang  which is BL64.”
Ling Shu – 24: “Pain in the area of the heart that is caused by yin CHI rising and stagnation of the 5 full organs will cause back pain and pain that is pulled to the anterior and posterior aspects of the body. In this case needle BL60 and BL64”.
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
169,Bl65,SHU GU,Restraining Bone,束骨,,"Shu – to tie, to restrain Gu – bone In times past the joint of the 5th toe was nicknamed “Shu Gu”. This is because all the bones of the foot meet here. BL65 is located directly proximal to this joint ","At the lateral aspect of the foot, in the notch proximal and inferior to the head of the 5th metatarsal bone, where the skin tone changes color ","Perpendicular 0.3-0.5 cun ","Shu – stream point
Wood point, Child point
","1. Clears blockages from the meridian
2. Purifies heat by dispersing fluids throughout the body
3. With BL60 for lumbar pain with the sensation of a break
4. Stem point of wood with HT9
Nei Ching
Ling Shu – 23: “one of 59 points to bring down heat”
Ling Shu – 34: “If a treatment of BL11 and BL10 fails in instances of imbalance causing problems in the head, needle BL65 and BL66”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
170,Bl66,ZU TONG GU,Valley Passage,通谷,"BL66 is located near the tip of the KID meridian. After CHI passes through BL67-KID1 it arrives at the shining valley (KID2). BL66 is located on the other side of the valley. It is the spring point of the BL meridian. This point is likened to a passage through a tunnel helping the CHI flow through to the stream point and eventually to the He – sea point.
","Zu – leg Tong – passage, to lead Gu – valley ","At the lateral aspect of the foot, in the notch distal and inferior to the 5th metatarsal phylange bone, where the skin color changes ","Perpendicular 0.2-0.3 cun ","Spring point
Water point, Horrary point
3.   Water point of the Tai Yang with SI2
","Clears blockages from the meridian
2.    Weakens hot wind at the beginning stages by regulating the Yin Wei Mai
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
